iter	RMSE
0	4.818105933
1	4.551445061
2	4.293001411
3	4.040292223
4	3.828215546
5	3.641313081
6	3.453888786
7	3.291193802
8	3.160381592
9	2.996156526
10	2.865236576
11	2.751538597
12	2.631742849
13	2.52770939
14	2.414109908
15	2.335400911
16	2.232573723
17	2.16754113
18	2.107892623
19	2.04010525
20	1.987254752
21	1.917581589
22	1.854785966
23	1.785410864
24	1.762867392
25	1.720274661
26	1.664811616
27	1.609024037
28	1.568955483
29	1.532406895
30	1.505719988
31	1.4584617
32	1.408968097
33	1.382238945
34	1.342081683
35	1.310183351
36	1.286435257
37	1.249147662
38	1.227120107
39	1.213223682
40	1.187374519
41	1.156613451
42	1.126193962
43	1.103233046
44	1.084345212
45	1.062488535
46	1.046483473
47	1.030158596
48	1.011962816
49	0.9989072457
50	0.984108733
51	0.9700408632
52	0.9420581145
53	0.918708597
54	0.9017464059
55	0.8914013673
56	0.8677009372
57	0.861605745
58	0.841056196
59	0.8236344432
60	0.8185294589
61	0.8102181335
62	0.7992293472
63	0.7870316311
64	0.7685437044
65	0.7521967212
66	0.7418372484
67	0.7380963853
68	0.7207238976
69	0.7130992876
70	0.7008207704
71	0.68320893
72	0.6801170099
73	0.6720397237
74	0.6617997715
75	0.6492967225
76	0.6465988049
77	0.6401332779
78	0.6323304026
79	0.6269852107
80	0.6243863963
81	0.6205232399
82	0.6179044659
83	0.6150661052
84	0.6048215948
85	0.5971859419
86	0.5953711793
87	0.5872814971
88	0.5855824836
89	0.5808763395
90	0.5772672782
91	0.5731793211
92	0.5656365911
93	0.5617096633
94	0.5578797365
95	0.5543510145
96	0.5511325215
97	0.5458246326
98	0.537001251
99	0.5340319108
100	0.5323478007
101	0.5246811297
102	0.521370083
103	0.5121712954
104	0.506437648
105	0.497758611
106	0.4911965104
107	0.484998654
108	0.480046337
109	0.4754940281
110	0.4712414532
111	0.4662165649
112	0.4619755805
113	0.4602341069
114	0.4566483725
115	0.4516029953
116	0.4471195245
117	0.4441874711
118	0.4406179578
119	0.4364825861
120	0.4316218917
121	0.4276892551
122	0.4255873862
123	0.4243105848
124	0.4231610637
125	0.4186331609
126	0.4174879879
127	0.4155871511
128	0.4120045892
129	0.4109665581
130	0.407728737
131	0.4066214218
132	0.4057133298
133	0.4022186373
134	0.39953798
135	0.3968766421
136	0.3942781187
137	0.3934554955
138	0.3909249777
139	0.3901837533
140	0.3883801248
141	0.3861257624
142	0.3854450154
143	0.3827815283
144	0.3821066631
145	0.3814943173
146	0.3784476155
147	0.3752292879
148	0.3716251907
149	0.370187101
150	0.3696284995
151	0.3675488414
152	0.3657768101
153	0.3640617809
154	0.3625751868
155	0.3605482241
156	0.3587577106
157	0.3569744145
158	0.3554278847
159	0.3539487588
160	0.3516535964
161	0.3461365225
162	0.3443244643
163	0.3424167932
164	0.3416634021
165	0.3403847365
166	0.3387913405
167	0.337636944
168	0.3360532654
169	0.3359557982
170	0.3340912821
171	0.3314140359
172	0.3304595676
173	0.3256911796
174	0.3240780492
175	0.3228477102
176	0.3201254842
177	0.3190064022
178	0.3188172459
179	0.3140844613
180	0.3132404915
181	0.3121152447
182	0.3115297795
183	0.3098380359
184	0.3088974475
185	0.3076210555
186	0.3074616936
187	0.3064600802
188	0.3063816906
189	0.304328824
190	0.3018317519
191	0.2991374793
192	0.2980446279
193	0.2960039623
194	0.2923069741
195	0.2912972472
196	0.2906859866
197	0.2899587939
198	0.2868308586
199	0.2848149698
